Index,Message,Description,Message Abstract,Description Abstract
849,chore(deps): update dependency @types/node to v14.17.30,,chore(deps): update dependency @types/node to v14.17.30,
850,Merge pull request #1390 from karishmashuklaa/patch,docs(contributing): Fixed grammatical mistakes/typos,Merge pull request #1390 from karishmashuklaa/patch,docs(contributing): Fixed grammatical mistakes/typos
851,fixed grammatical mistakes/typos,,fixed grammatical mistakes/typos,
852,feat(): support webpack multi compiler,,feat(): support webpack multi compiler,
853,chore(deps): update dependency husky to v7.0.4,,chore(deps): update dependency husky to v7.0.4,
854,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.4.0,,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.4.0,
855,chore(deps): update typescript-eslint monorepo to v5.1.0,,chore(deps): update typescript-eslint monorepo to v5.1.0,
856,chore(deps): update dependency jest to v27.3.1,,chore(deps): update dependency jest to v27.3.1,
857,chore(): release v8.1.4,,chore(): release v8.1.4,
858,Merge pull request #1264 from NikolaPeevski/bug/#1117,fix: assets copying from 'nest build' is problematic,Merge pull request #1264 from NikolaPeevski/bug/#1117,fix: assets copying from 'nest build' is problematic
859,Merge pull request #1379 from nestjs/renovate/jest-monorepo,chore(deps): update dependency jest to v27.3.0,Merge pull request #1379 from nestjs/renovate/jest-monorepo,chore(deps): update dependency jest to v27.3.0
860,chore(deps): update dependency jest to v27.3.0,,chore(deps): update dependency jest to v27.3.0,
861,chore(): release v8.1.3,,chore(): release v8.1.3,
862,Merge pull request #1359 from iloverink/fix-dep,chore(deps): update dependency cli-table3 to v0.6.0,Merge pull request #1359 from iloverink/fix-dep,chore(deps): update dependency cli-table3 to v0.6.0
863,Merge pull request #1254 from nestjs/renovate/webpack-5.x,fix(deps): update dependency webpack to v5.58.2,Merge pull request #1254 from nestjs/renovate/webpack-5.x,fix(deps): update dependency webpack to v5.58.2
864,Merge pull request #1357 from nestjs/renovate/fork-ts-checker-webpack-plugin-6.x,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.3.4,Merge pull request #1357 from nestjs/renovate/fork-ts-checker-webpack-plugin-6.x,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.3.4
865,Merge pull request #1377 from nestjs/renovate/ts-jest-27.x,chore(deps): update dependency ts-jest to v27.0.7,Merge pull request #1377 from nestjs/renovate/ts-jest-27.x,chore(deps): update dependency ts-jest to v27.0.7
866,Merge pull request #1351 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v12.2.10,Merge pull request #1351 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v12.2.10
867,chore(deps): update dependency ts-jest to v27.0.7,,chore(deps): update dependency ts-jest to v27.0.7,
868,chore(deps): update dependency ts-jest to v27.0.6,,chore(deps): update dependency ts-jest to v27.0.6,
869,chore(deps): update dependency @types/node to v14.17.27,,chore(deps): update dependency @types/node to v14.17.27,
