Index,Message,Description
295,chore: bump chromium to 110.0.5451.0 (main) (#36394)
296,ci: pin action shas (#36562)
297,docs: fix broken links (#36519)
298,fix: new WebAssembly API support in Node.js (#36420)
299,refactor: make StatusIconType an enum class (#36500)
300,build: fixup mksnapshot args on linux (#36531)
301,feat: expose window.invalidateShadow() (#32452)
302,chore: update NMV for Electron 24 (#36465)
303,chore: drop support for Windows 7 / 8 / 8.1 (#36427)
304,fix: treat maxWidth/Height<=0 as unlimited (#36487)
305,docs: document outlivesOpener option in window open handler (#36486)
306,fix: handle Notification requireInteraction option (#36477)
307,refactor: improve accelerator check failed message (#36476)
308,docs: fix loadExtension example (#36489)
309,chore: update NMV for Electron 23 (#36464)
310,docs: change pull request template to include mentions of templates and examples (#36474)
311,docs: update E23 release dates (#36475)
312,fix: enable crashpad for ELECTRON_RUN_AS_NODE processes (#36460)
313,fix: reimplement Tray with StatusIconLinuxDbus on Linux (#36333)
314,build(deps): bump minimatch from 3.0.4 to 3.0.8 (#36418)
315,docs: add missing event-emitter link to utility-process docs (#36428)
316,build: fixup appveyor image for release (#36429)
317,feat: add support for WebUSB (#36289)
318,build: update devcontainer and use latest codespaces features (#36422)
319,chore: bump node to v18.12.1 (main) (#36356)
320,"ci: bake appveyor images automatically, run sync on depshash change (#35396)"
321,build: force ninja binary to the right arch after src cache restore (#36401)
322,chore: fix dangling promise in npm install (#36379)
323,fix: remove unneeded --turbo-profiling-input arg from mksnapshot_args (#36378)
324,build(deps): bump loader-utils from 1.4.1 to 1.4.2 in /spec (#36375)
325,chore: bump chromium to 110.0.5415.0 (main) (#36186)
326,ci: add default action permissions (#36363)
327,build: build mas and darwin simultaneously (#36354)
328,docs: update SECURITY.md with new GHSA reporting feature (#36367)
329,build(deps): bump loader-utils from 1.4.1 to 1.4.2 (#36365)
330,build: remove out cache (#36355)
331,build: make src cache smaller (#36344)
332,docs: update README.md to use correct twitter handle (#36345)
333,ci: pin some more action versions (#36343)
334,ci: pin amannn/action-semantic-pull-request (#36341)
335,ci: pin version of actions/checkout (#36342)
336,chore: enable scorecard github action (#35741)
337,refactor: change defined(MAS_BUILD) to IS_MAS_BUILD() (#36332)
338,fix: abort ShipIt installation attempt at the final mile if the app is running (#36130)
339,build: provide moduleVersion to docs-parser directly (#36329)
340,docs: update tutorials for Forge 6 (#36313)
341,chore: upgrade to Node.js v18 (#35999)
342,fix: app.dock.setIcon() crash before app ready (#36279)
343,feat: add app.getPreferredSystemLanguages() API (#36035)
344,build(deps): bump loader-utils from 1.2.3 to 1.4.1 in /spec (#36281)
345,chore: remove unsupported OS_FREEBSD flag check (#36273)
346,build(deps): bump loader-utils from 1.2.3 to 1.4.1 (#36276)
347,refactor: move draggable regions to WebContents (#36230)
348,fix: arm linux glibc dependency (#36247)
349,docs: fix driverId -> deviceId typo (#36246)
350,docs: Fixed outdated documentation (uploading to App Store) (#35116)
351,feat: Add BrowserWindow option to hide window in Mission Control (macOS) (#36092)
352,test: re-enable window.open referrer test (#36155)
353,build: fix building with enable_plugins = false (#36193)
354,docs: add EOL dates to timeline doc (#36187)
355,fix: remove undocumented feature and flaky test for webview resize event (#36154)
356,build: prefix version in uploader script (#36169)
357,chore: bump chromium to 109.0.5382.0 (main) (#36057)
358,test: fix flake in will-navigate test (#36153)
359,docs: add utility process info to tutorial docs (#36074)
360,docs: correcting main example in WebRequest documentation (#36113)
361,refactor: handle uncaught promise error (#35484)
362,build: use npm@7 for npm view command
363,build: strip v in the getElectronVersion helper
364,fix: resolve loadURL properly for in-page navigations (#36129)
365,"docs: document that when invoke rejects, it gives a different Error (#36127)"
366,build: use python3 for appveyor commands (#36131)
367,build: ensure get-version runs in the electron git checkout (#36128)
368,build: determine electron version from tags not files (#36106)
369,docs: fixed MenuItem documentation to use the same formatting for all role options (#36112)
370,Bump v23.0.0-nightly.20221024
371,Bump v23.0.0-nightly.20221021
372,test: exit properly when node-spec-runner validates specs (#36091)
373,test: disable flaky linux arm/arm64 crash test case (#36094)
374,refactor: enable OOPIF printing to PDF (#36051)
375,Bump v23.0.0-nightly.20221020
376,feat: UtilityProcess API (#34980)
377,refactor: migrate from asar to @electron/asar (#36070)
378,Bump v23.0.0-nightly.20221019
379,fix: printToPDF default margins (#36060)
380,fix: headless job tracking in printToPDF (#36046)
381,Bump v23.0.0-nightly.20221018
382,feat: support serialPort.forget() (#35310)
