Index,Message,Description
1185,Merge pull request #66 from terraform-providers/docs-d-svc,docs: Improve service data source example
1186,Merge pull request #64 from terraform-providers/minikube-compatible,Make acceptance tests compatible w/ minikube
1187,docs: Improve service data source example,
1188,Make acceptance tests compatible w/ minikube,
1189,Merge pull request #63 from terraform-providers/vendor-tf-0.10.3,vendor: github.com/hashicorp/terraform/...@v0.10.3
1190,Fixing logo,
1191,vendor: github.com/hashicorp/terraform/...@v0.10.3,
1192,Merge pull request #62 from terraform-providers/go-1.9,build: Switch Travis to Go 1.9
1193,build: Switch Travis to Go 1.9,
1194,Merge pull request #51 from terraform-providers/docs-k8s-guide,docs: Add Getting Started Guide
1195,docs: Add Getting Started Guide,
1196,Merge pull request #54 from terraform-providers/decouple-gcp-tests,tests: Skip GCloud tests if no ENV vars provided
1197,tests: Skip GCloud tests if no ENV vars provided,
1198,Update CHANGELOG.md,
1199,Merge pull request #53 from terraform-providers/b-container-sc-caps-crash,r/pod+rc: Avoid crash in reading container.security_context capability
1200,Merge pull request #52 from terraform-providers/docs-standardize-label-casing,docs: Use lower casing for labels
1201,Merge pull request #55 from terraform-providers/docs-storage-class-hcl,docs: Enable HCL syntax highlighting for storage_class
1202,docs: Enable HCL syntax highlighting for storage_class,
1203,r/pod+rc: Avoid crash in reading container.security_context capability,
1204,docs: Use lower casing for labels,
1205,Cleanup after v1.0.0 release,
1206,v1.0.0,
1207,Update CHANGELOG.md,
1208,Update CHANGELOG.md,
1209,Merge pull request #50 from terraform-providers/b-prevent-internal-annotations,meta: Treat internal k8s annotations as invalid
1210,meta: Treat internal k8s annotations as invalid,
1211,Update CHANGELOG.md,
1212,Merge pull request #49 from terraform-providers/b-pod-forcenew,r/pod: Represent update-ability of spec correctly
1213,r/pod: Represent update-ability of spec correctly,
1214,Update CHANGELOG.md,
1215,Merge pull request #46 from terraform-providers/b-error-out-on-invalid-id,Avoid crash when importing invalid ID
1216,Merge pull request #43 from terraform-providers/vendor-tf-0.10,vendor: github.com/hashicorp/terraform/...@v0.10.0
1217,Avoid crash when importing invalid ID,
1218,Update CHANGELOG.md,
1219,Merge pull request #44 from sl1pm4t/volume-secret-item,Update Secret Volume to support module.
1220,Changes per code review,
1221,go fmt,
1222,Merge branch 'master' into volume-secret-item,
1223,Update CHANGELOG.md,
1224,Merge pull request #42 from sl1pm4t/fix-node-selectors,Fix pod template node_selectors
