Index,Message,Description,Message Abstract,Description Abstract
166,chore(deps): update dependency cookiejar to 2.1.4 [security],,chore(deps): update dependency cookiejar to 2.1.4 [security],
167,chore(deps): update typescript-eslint monorepo to v5.49.0,,chore(deps): update typescript-eslint monorepo to v5.49.0,
168,chore(deps): update dependency @types/jest to v29.2.6,,chore(deps): update dependency @types/jest to v29.2.6,
169,chore(deps): update typescript-eslint monorepo to v5.48.2,,chore(deps): update typescript-eslint monorepo to v5.48.2,
170,chore(deps): update dependency eslint-plugin-import to v2.27.5,,chore(deps): update dependency eslint-plugin-import to v2.27.5,
171,chore(deps): update dependency eslint to v8.32.0,,chore(deps): update dependency eslint to v8.32.0,
172,chore(deps): update dependency prettier to v2.8.3,,chore(deps): update dependency prettier to v2.8.3,
173,chore(deps): update dependency ts-jest to v29.0.5,,chore(deps): update dependency ts-jest to v29.0.5,
174,chore(deps): update commitlint monorepo to v17.4.2,,chore(deps): update commitlint monorepo to v17.4.2,
175,chore(deps): update dependency eslint-plugin-import to v2.27.4,,chore(deps): update dependency eslint-plugin-import to v2.27.4,
176,chore(deps): update dependency ts-jest to v29.0.4,,chore(deps): update dependency ts-jest to v29.0.4,
177,fix: number enum generated schema type,,fix: number enum generated schema type,
178,chore(deps): update dependency @fastify/static to v6.6.1,,chore(deps): update dependency @fastify/static to v6.6.1,
179,Merge branch 'nestjs:master' into master,,Merge branch 'nestjs:master' into master,
180,chore(deps): update typescript-eslint monorepo to v5.48.1,,chore(deps): update typescript-eslint monorepo to v5.48.1,
181,chore(deps): update dependency @commitlint/cli to v17.4.1,,chore(deps): update dependency @commitlint/cli to v17.4.1,
182,chore(deps): update dependency prettier to v2.8.2,,chore(deps): update dependency prettier to v2.8.2,
183,Update intersection-type.helper.ts,,Update intersection-type.helper.ts,
184,fix(): intersect more than 2 classes,,fix(): intersect more than 2 classes,
185,chore(deps): update commitlint monorepo to v17.4.0,,chore(deps): update commitlint monorepo to v17.4.0,
186,chore(deps): update dependency husky to v8.0.3,,chore(deps): update dependency husky to v8.0.3,
187,chore(deps): update typescript-eslint monorepo to v5.48.0,,chore(deps): update typescript-eslint monorepo to v5.48.0,
188,chore(deps): update dependency eslint-config-prettier to v8.6.0,,chore(deps): update dependency eslint-config-prettier to v8.6.0,
189,chore(deps): update dependency eslint to v8.31.0,,chore(deps): update dependency eslint to v8.31.0,
190,chore(deps): update dependency @types/jest to v29.2.5,,chore(deps): update dependency @types/jest to v29.2.5,
191,chore(deps): update dependency release-it to v15.6.0,,chore(deps): update dependency release-it to v15.6.0,
192,chore(deps): update typescript-eslint monorepo to v5.47.1,,chore(deps): update typescript-eslint monorepo to v5.47.1,
193,chore(deps): update dependency @types/node to v18.11.18,,chore(deps): update dependency @types/node to v18.11.18,
194,chore(deps): update typescript-eslint monorepo to v5.47.0,,chore(deps): update typescript-eslint monorepo to v5.47.0,
195,chore(deps): update dependency @types/node to v18.11.17,,chore(deps): update dependency @types/node to v18.11.17,
196,chore(deps): update dependency eslint to v8.30.0,,chore(deps): update dependency eslint to v8.30.0,
197,chore(deps): update dependency @types/node to v18.11.16,,chore(deps): update dependency @types/node to v18.11.16,
198,chore(deps): update dependency @types/node to v18.11.15,,chore(deps): update dependency @types/node to v18.11.15,
199,chore(deps): update dependency @types/node to v18.11.14,,chore(deps): update dependency @types/node to v18.11.14,
200,chore(deps): update typescript-eslint monorepo to v5.46.1,,chore(deps): update typescript-eslint monorepo to v5.46.1,
201,chore(deps): update dependency @types/node to v18.11.13,,chore(deps): update dependency @types/node to v18.11.13,
202,chore(deps): update dependency openapi-types to v12.1.0,,chore(deps): update dependency openapi-types to v12.1.0,
203,chore(deps): update dependency class-validator to v0.14.0,,chore(deps): update dependency class-validator to v0.14.0,
204,chore(deps): update dependency @types/node to v18.11.12,,chore(deps): update dependency @types/node to v18.11.12,
205,chore(deps): update typescript-eslint monorepo to v5.46.0,,chore(deps): update typescript-eslint monorepo to v5.46.0,
206,chore(deps): update dependency typescript to v4.9.4,,chore(deps): update dependency typescript to v4.9.4,
207,chore(deps): update dependency supertest to v6.3.3,,chore(deps): update dependency supertest to v6.3.3,
208,chore(deps): update dependency prettier to v2.8.1,,chore(deps): update dependency prettier to v2.8.1,
209,Merge branch 'nestjs:master' into feat-global-paramters,,Merge branch 'nestjs:master' into feat-global-paramters,
210,style: change some names to make the code more readable,,style: change some names to make the code more readable,
211,chore(): release v6.1.4,,chore(): release v6.1.4,
212,Merge pull request #2171 from nestjs/renovate/typescript-eslint-monorepo,chore(deps): update typescript-eslint monorepo to v5.45.1,Merge pull request #2171 from nestjs/renovate/typescript-eslint-monorepo,chore(deps): update typescript-eslint monorepo to v5.45.1
213,chore(deps): update typescript-eslint monorepo to v5.45.1,,chore(deps): update typescript-eslint monorepo to v5.45.1,
214,Merge pull request #2174 from nestjs/renovate/typescript-4.x,chore(deps): update dependency typescript to v4.9.3,Merge pull request #2174 from nestjs/renovate/typescript-4.x,chore(deps): update dependency typescript to v4.9.3
215,chore(deps): update dependency typescript to v4.9.3,,chore(deps): update dependency typescript to v4.9.3,
