Index,Release Note,Release Note With Abstraction
102,"
Change the shortcuts for Muting/Archiving/Deleting a conversation.
Add shortcuts to jump directly to a conversation.
Add CLI flag to start the app minimized.
Dark mode tweaks.

https://github.com/sindresorhus/caprine/compare/1.5.0...1.6.0","Change the shortcuts for Muting/Archiving/Deleting a conversation.
Add shortcuts to jump directly to a conversation.
Add CLI flag to start the app minimized.
Dark mode tweaks.
link"
103,"Added a right-click menu and various minor improvements and bug fixes. 
https://github.com/sindresorhus/caprine/compare/1.4.1...1.5.0","Added a right-click menu and various minor improvements and bug fixes. 
link"
104,Fix window dragging on OS X. Linux and Windows users don't need to update.,Fix window dragging on OS X. Linux and Windows users don't need to update.
105,"
Dark mode and performance improvements.
The menubar on Windows is hidden by default. (Press Alt to toggle it)
The Caprine dark mode is now independent from the OS X dark mode.  https://github.com/sindresorhus/caprine/commit/3b609b7810bf94188b5f3f1442bbfdf1dd3078af

https://github.com/sindresorhus/caprine/compare/v1.3.1...1.4.0

Homebrew Cask
Homebrew Cask users can upgrade by running:
$ brew update && brew cask install caprine","Dark mode and performance improvements.
The menubar on Windows is hidden by default. (Press Alt to toggle it)
The Caprine dark mode is now independent from the OS X dark mode.  link
link
Homebrew Cask
Homebrew Cask users can upgrade by running:
$ brew update && brew cask install caprine"
106,"Bugfixes
https://github.com/sindresorhus/caprine/compare/v1.3.0...v1.3.1","Bugfixes
link"
107,"Add ability to zoom the text and shortcuts for muting, archiving, and deleting conversations.
(Thanks to @danhp!)
https://github.com/sindresorhus/caprine/compare/v1.2.2...v1.3.0","Add ability to zoom the text and shortcuts for muting, archiving, and deleting conversations.
(Thanks to @danhp!)
link"
108,Bump to Electron 0.37.6 and improve dark mode.,Bump to Electron 0.37.6 and improve dark mode.
109,Bump Electron to 0.37.2.,Bump Electron to 0.37.2.
110,"Caprine now ensures only one instance can be run at once. If you open Caprine when it's already running, it will just focus the current Caprine instance. And the Caprine dark mode now follows the OS X dark mode.
https://github.com/sindresorhus/caprine/compare/v1.1.0...v1.2.0","Caprine now ensures only one instance can be run at once. If you open Caprine when it's already running, it will just focus the current Caprine instance. And the Caprine dark mode now follows the OS X dark mode.
link"
111,"Some dark mode tweaks and on OS X you can now switch between conversations using Cmd+Shift+[ & Cmd+Shift+] in addition to the existing Ctrl+Tab & Ctrl+Shift+Tab shortcuts.
https://github.com/sindresorhus/caprine/compare/v1.0.0...v1.1.0","Some dark mode tweaks and on OS X you can now switch between conversations using Cmd+Shift+[ & Cmd+Shift+] in addition to the existing Ctrl+Tab & Ctrl+Shift+Tab shortcuts.
link"
