Index,Message,Description
181,test: clean up test names,
182,chore(deps): bump cross-zip from 2.1.6 to 3.0.0 (#1103),Bumps link from 2.1.6 to 3.0.0. - link - link Signed-off-by: dependabot-preview[bot] link
183,fix(mac): don't fail if the icon path given doesn't exist (#1101),
184,14.2.0,
185,feat: add electronZipDir option (#1094),
186,chore(deps-dev): bump eslint-plugin-node from 10.0.0 to 11.0.0 (#1097),Bumps link from 10.0.0 to 11.0.0. - link - link Signed-off-by: dependabot-preview[bot] link
187,chore(deps-dev): bump sinon from 7.5.0 to 8.0.1 (#1096),Bumps link from 7.5.0 to 8.0.1. - link - link - link Signed-off-by: dependabot-preview[bot] link
188,chore(deps-dev): bump nyc from 14.1.1 to 15.0.0 (#1095),Bumps link from 14.1.1 to 15.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link
189,fix: make symlink test robust to parallel packaging (#1088),
190,docs: move darwinDarkModeSupport under the macOS-only options,
191,fix: emit a warning if --osx-sign and a sub-property are specified in the CLI (#1087),
192,test: fix infer test coverage (#1085),
193,chore: fix question link title,
194,chore: Use issue config instead of a fake issue template for questions,
195,fix(win32): handle missing wine64 binaries in addition to wine (#1083),
196,test: add scheduled canary workflow to run against nightly Electron builds (#1080),
197,14.1.1,
198,fix(infer): make the error message clearer when infer cannot find a package.json file (#1079),Also make the error message clearer when infer cannot find a package.json file.
199,fix: always initialize proxy support when running the CLI (#1077),
200,chore: ignore statement for code coverage purposes,
201,test(macOS): disable win32 target testing (#1078), disable running win32-specific tests on macOS CI stub out rcedit on macOS CI
202,fix: symlink test regression (#1071),
203,chore(deps): bump electron-notarize from 0.1.1 to 0.2.0 (#1069),Bumps electron-notarize from 0.1.1 to 0.2.0. Signed-off-by: dependabot-preview[bot] link
204,docs: fix require statement for hooks examples,Fixes #1067.
205,14.1.0,
206,chore(deps): upgrade to @electron/get@^1.6.0 for better proxy support,
207,chore(deps): bump yargs-parser from 15.0.0 to 16.0.0 (#1065),Bumps link from 15.0.0 to 16.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link
208,feat: add support for win32/arm64 official builds (#1053),
209,chore(deps): bump yargs-parser from 13.1.1 to 15.0.0 (#1057),Bumps link from 13.1.1 to 15.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link
210,chore(deps-dev): bump eslint-plugin-ava from 8.0.0 to 9.0.0 (#1058),Bumps link from 8.0.0 to 9.0.0. - link - link Signed-off-by: dependabot-preview[bot] link
211,chore(deps-dev): bump eslint-plugin-node from 9.2.0 to 10.0.0 (#1056),Bumps link from 9.2.0 to 10.0.0. - link - link Signed-off-by: dependabot-preview[bot] link
212,feat: add usageDescription option for darwin/mas targets (#1049),
213,14.0.6,
214,fix: send the properly formatted options from the CLI to electron-osx-sign (#1047),
215,chore: add missing NEWS entry,
216,14.0.5,
217,chore: update NEWS.md,
218,fix: ensure that CFBundleExecutable and friends are correct for helper apps (#1046),  fix: ensure that CFBundleExecutable and friends are correct for helper apps   Update darwin.js 
219,chore(deps-dev): upgrade eslint-config-standard to ^14 (#1043),
220,chore(deps-dev): upgrade eslint-plugin-ava to ^8 (#1042),
221,chore: use the standardized capitalization of README,
222,chore: remove AppVeyor badge,
223,build: replace AppVeyor with CircleCI's Windows support (#1041),
224,chore: correct formatting of the 14.0.4 NEWS entry,
225,14.0.4,
226,chore: update electron version in v6 tests,
227,update NEWS.md,
228,fix: ensure that the GPU helper plist is updated,
229,fix: handle the electron GPU helper error on mac (#1036),  fix electron helper error on mac   fix electron helper error on mac 
230,chore: actually run CI on Linux/Node 10,
231,chore: remove references to Travis CI,
232,chore: fix up 14.0.3 NEWS,
233,14.0.3,
234,chore: update NEWS.md,
235,fix: support Electron v6 helpers (#1033),Fixes #1032
236,chore: CircleCI support (#1031),  chore: use CircleCI for Linux/macOS tests   docs: update test running docs   chore: add CircleCI badge to readme   Add CI for Node 10   chore: remove Travis CI support   chore: use x64 workers on AppVeyor 
237,Fix AppVeyor URL,
238,Fix GitHub template URLs,
239,test: download the checksum first,
240,chore: adjust GitHub links to Electron Packager,
241,14.0.2,
242,fix(unzip): warn Windows 7 users of the unzip dependency (#1030),
243,chore(deps-dev): update eslint-config-standard requirement from ^12.0.0 to ^13.0.0 (#1027), chore(deps-dev): update eslint-config-standard requirement  Updates the requirements on link to permit the latest version. - link - link - link Signed-off-by: dependabot-preview[bot] link  chore: fix lint warnings
244,14.0.1,
245,Remove section from README about 'Open Open Source' (#1026),
246,fix: add os.release() to host info,
247,chore: lower the no-response days to 7,
248,Update fs-extra requirement from ^7.0.0 to ^8.1.0 (#993),Updates the requirements on link to permit the latest version. - link - link - link Signed-off-by: dependabot[bot] link
249,chore: upgrade eslint to ^6 (#1020),
250,docs: add unzip dependency info to README,Fixes #1018.
251,chore: update author & collaborators,Link to the GitHub collaborators graph instead of keeping a manual list.
252,chore: limit the files in the NPM package,
253,14.0.0,
254,Merge pull request #1017 from electron-userland/v14-develop,Version 14
255,chore: add NEWS entries for v14,
256,Linux/ia32 warning moved from Packager to @electron/get (#1016),
257,"test: fix CLI test names, add --no-download.rejectUnauthorized test",
258,refactor: use object shorthand in targets exports,
259,feat: convert from electron-download to @electron/get  (#1002),BREAKING CHANGE: The download options are completely different.
260,refactor: always test against post-1.0 versions of Electron (#1012), chore: replace Electron 1.3.1 with 1.4.13 in tests
261,chore: install Wine via homebrew on macOS,
262,chore: use yarn on Travis/macOS,
263,chore: upgrade the ava ecosystem to ^2,
264,chore: refactor codesign testing (#1010), chore: test Travis/macOS with xcode10.1 chore: copy codesign setup from electron/electron chore: only run codesign test on macOS hosts
265,chore: avoid running npm install for fixtures (#1009),"We only need a subset of the modules available for tests, so stub them out instead."
266,feat: ignore system junk files by default (#1005),
267,chore: upgrade electron-notarize to ^0.1.1,
268,chore: upgrade rcedit to ^2.0.0 (#1003),
269,Replace extract-zip with cross-zip (#984),
270,Wrap await example in a function because top-level await doesn't exist yet,
271,chore: upgrade eslint-plugin-node to ^9.0.1,
272,chore: split up NPM scripts,
273,Upgrade asar to ^2.0.1,
274,Update asar to ^2.0.0,
275,Drop mz for util.promisify (#983),
276,Update tempy requirement from ^0.2.1 to ^0.3.0 (#980),Updates the requirements on link to permit the latest version. - link - link Signed-off-by: dependabot[bot] link
277,Enable async/await eslint-plugin-ava config option,
278,Handle inference where electron-prebuilt-compile points to a non-version (#978),Fixes #975.
279,Refactor test helpers (#977),Refactor the test helpers so that it's easier to isolate tests to run when developing.
280,Move around source files (#976), Move cli.js to a bin folder Move source files to src folder Move CLI code to its own file
281,Drop Node 6 (#973), Replace module with module Don't run CI against Node 6 Convert from Promise syntax to module/module Drop Promise example from docs Update docs to indicate Node 8 requirement Use module Ignore package lock files Upgrade module to module Use object spread syntax when possible Ignore caught icon error in code coverage
282,chore: upgrade electron-notarize to ^0.1.0 (#997),
283,chore: be more explicit that users shouldn't file questions in the issue tracker,
284,Update nyc requirement from ^13.0.1 to ^14.0.0 (#979),Updates the requirements on link to permit the latest version. - link - link - link Signed-off-by: dependabot[bot] link
285,"Split up issue template into bugs/feature requests/""questions"" (#971)",
