Index,Message,Description,Message Abstract,Description Abstract
8007,Release 2.0.0.rc1,,Release 2.0.0.rc1,
8008,Bump :gem: version.,,Bump :gem: version.,
8009,Fix up docs for collections.,2238.,Fix up docs for collections.,2238.
8010,Update history to reflect merge of #2238 [ci skip],,Update history to reflect merge of #2238 [ci skip],
8011,Merge pull request #2238 from jekyll/fix-the-collections,,Merge pull request #2238 from jekyll/fix-the-collections,
8012,Use the 'output' key instead of 'write' for writing out collections' document files.,,Use the 'output' key instead of 'write' for writing out collections' document files.,
8013,Run jekyll build in features (must give subcommand),,Run jekyll build in features (must give subcommand),
8014,Move link around for GitHub training site & source.,2257.,Move link around for GitHub training site & source.,2257.
8015,Update history to reflect merge of #2257 [ci skip],,Update history to reflect merge of #2257 [ci skip],
8016,Merge pull request #2257 from stevenspasbo/master,,Merge pull request #2257 from stevenspasbo/master,
8017,Fix syntax issue on Templates page with include example.,Fixes #2256 for the time being.,Fix syntax issue on Templates page with include example.,Fixes #2256 for the time being.
8018,Add test for collections' new #to_liquid sturff,,Add test for collections' new #to_liquid sturff,
8019,TEST THE COLLECTIONS,,TEST THE COLLECTIONS,
8020,Use Hash.new instead of hash literal,,Use Hash.new instead of hash literal,
8021,NO MORE DATA COLLECTION I CAN'T HANDLE IT,,NO MORE DATA COLLECTION I CAN'T HANDLE IT,
8022,script/test should probably use bundler,,script/test should probably use bundler,
8023,Extract Collections metadata from site config,,Extract Collections metadata from site config,
8024,"Always render collections, just don't always write them",,"Always render collections, just don't always write them",
8025,Add a script/test file for :heart: and :money:,,Add a script/test file for :heart: and :money:,
8026,Don't read the collection if it's the data collection,,Don't read the collection if it's the data collection,
8027,Don't pretend there is a collections setter,,Don't pretend there is a collections setter,
8028,Nil-out @collections  so #collections will re-compile,,Nil-out @collections  so #collections will re-compile,
8029,Fetch collection names agnostically regarding the data structure of config['collections'],,Fetch collection names agnostically regarding the data structure of config['collections'],
8030,Reset the collections hash on #reset.,Fixes #2234.,Reset the collections hash on #reset.,Fixes #2234.
8031,Update history to reflect merge of #2258 [ci skip],,Update history to reflect merge of #2258 [ci skip],
8032,Merge pull request #2258 from caffinatedmonkey/cucumber_cleanup,,Merge pull request #2258 from caffinatedmonkey/cucumber_cleanup,
8033,Cleaned up cucumbers,,Cleaned up cucumbers,
8034,Fixed broken link to github training material site,,Fixed broken link to github training material site,
8035,Update history to reflect merge of #2253 [ci skip],,Update history to reflect merge of #2253 [ci skip],
8036,Merge pull request #2253 from jekyll/var-substitution,,Merge pull request #2253 from jekyll/var-substitution,
8037,Add Jekyll::LiquidExtensions.lookup_variable,"To use, just include Jekyll::LiquidExtensions as you please: ```ruby class SayHi < Liquid::Tag   include Jekyll::LiquidExtensions def initialize(tag_name, markup, tokens)     @markup = markup.strip   end def render(context)     ""hi #{lookup_variable(context, @markup)}""   end end ``` Fixes #2071.",Add Jekyll::LiquidExtensions.lookup_variable,"To use, just include Jekyll::LiquidExtensions as you please: module Fixes #2071."
8038,Update history to reflect merge of #2205 [ci skip],,Update history to reflect merge of #2205 [ci skip],
8039,Merge pull request #2205 from jekyll/maul-esel-frontmatter-defaults,,Merge pull request #2205 from jekyll/maul-esel-frontmatter-defaults,
8040,Update history to reflect merge of #2250 [ci skip],,Update history to reflect merge of #2250 [ci skip],
8041,Merge pull request #2250 from sheehamj13/patch-1,,Merge pull request #2250 from sheehamj13/patch-1,
8042,Update plugins.md,,Update plugins.md,
8043,Update history to reflect merge of #2247 [ci skip],,Update history to reflect merge of #2247 [ci skip],
8044,Merge pull request #2247 from mrfoto/patch-1,,Merge pull request #2247 from mrfoto/patch-1,
8045,Update history to reflect merge of #2244 [ci skip],,Update history to reflect merge of #2244 [ci skip],
8046,Merge pull request #2244 from jekyll/xml-escape-nil,,Merge pull request #2244 from jekyll/xml-escape-nil,
8047,rr has moved,,rr has moved,
8048,end the ned,,end the ned,
8049,do the do,,do the do,
8050,Update history to reflect merge of #2243 [ci skip],,Update history to reflect merge of #2243 [ci skip],
8051,Merge pull request #2243 from RadicalZephyr/master,,Merge pull request #2243 from RadicalZephyr/master,
8052,Reword slightly to fix typo,"Also avoid using ""you"" as well",Reword slightly to fix typo,"Also avoid using ""you"" as well"
8053,no -> not,,no -> not,
8054,convert input to string before xml escaping,,convert input to string before xml escaping,
8055,"Remove ""tag"" from the link",It looks super weird,"Remove ""tag"" from the link",It looks super weird
