,Time
1720,85094
1721,438580
1722,188486
1723,17
1724,21
1725,57941
1726,546835
1727,11
1728,28
1729,157306
1730,15247
1731,242430
1732,270765
1733,99065
1734,345584
1735,79184
1736,12
1737,161580
1738,361929
1739,81238
1740,18
1741,11
1742,83773
1743,440911
1744,80077
1745,21
1746,25
1747,596167
1748,8618
1749,21
1750,25
1751,83815
1752,79879
1753,242938
1754,10648
1755,108319
1756,57358
1757,201852
1758,320335
1759,104405
1760,20
1761,10
1762,180021
1763,325121
1764,568
1765,19892
1766,58381
1767,20807
1768,62905
1769,462727
1770,79108
1771,24
1772,18
1773,80394
1774,66033
1775,453755
1776,4540
1777,144473
1778,361198
1779,99047
1780,41
1781,39
1782,172230
1783,342307
1784,90306
1785,22
1786,20
1787,604758
1788,23
1789,26
1790,3134
1791,153486
1792,3917
1793,354812
1794,10212
1795,79242
1796,180051
1797,326210
1798,19367
1799,233412
1800,371376
1801,259223
1802,264965
1803,61230
1804,19429
1805,79120
1806,180023
1807,323614
1808,13462
1809,8540
1810,259187
1811,345633
1812,79164
1813,21
1814,83955
1815,82523
1816,12997
1817,523
1818,345606
1819,79168
1820,180043
1821,345616
1822,79162
1823,14
1824,180009
1825,298547
1826,12912
1827,113211
1828,40
1829,30
1830,604738
1831,38
1832,32
1833,7438
1834,75398
1835,5969
1836,77153
1837,5448
1838,3048
1839,351183
1840,78963
1841,180
1842,30
1843,179975
1844,345637
1845,79130
1846,18
1847,27
1848,31
1849,50112
1850,129890
1851,320312
1852,25269
1853,78982
1854,51
1855,56
1856,164773
1857,243039
1858,31039
1859,19
1860,48825
1861,8550
1862,20944
1863,267742
1864,325737
1865,73904
1866,25043
1867,64
1868,163166
1869,304966
1870,55904
1871,685585
1872,13
1873,20
1874,75560
1875,6450
1876,522644
1877,26
1878,18
1879,27
1880,59024
1881,475
1882,66286
1883,14924
1884,14586
1885,56
1886,370359
1887,79090
1888,24
1889,10
1890,21
1891,180040
1892,345602
1893,259196
1894,345602
1895,79136
1896,7
1897,19
1898,13
1899,76469
1900,83694
1901,586206
1902,38459
1903,325436
1904,90007
1905,12
1906,770102
1907,512
1908,574
1909,1793
1910,13134
1911,610266
1912,424349
1913,69728
1914,75412
1915,37850
1916,319969
1917,10297
1918,203
1919,15127
1920,66448
1921,192780
1922,241416
1923,363353
1924,345629
1925,124860
1926,27048
1927,28
1928,8023
1929,1564
1930,72567
1931,369334
1932,210590
1933,31431
1934,8717
1935,1534082
1936,17627
1937,413
1938,67154
1939,1111248
1940,177663
1941,10514
1942,1948
1943,200
1944,445319
1945,73455
1946,184210
1947,351024
1948,114
1949,87492
1950,74211
1951,69905
1952,769
1953,18031
1954,363658
1955,240549
1956,4487
1957,14125
1958,345323
1959,259256
1960,345726
1961,58056
1962,35
1963,201067
1964,345626
1965,47115
1966,27088
1967,7149
1968,337
1969,170470
1970,329742
1971,5547
1972,263406
1973,4132
1974,3954
1975,236894
1976,17938
1977,89631
1978,243135
1979,130
1980,28417
1981,249373
1982,62997
1983,21
1984,167
1985,215
1986,24431
1987,81994
1988,112216
1989,45924
1990,430560
1991,89983
1992,89058
1993,358209
1994,178379
1995,55302
1996,21181
1997,35
1998,60
1999,353666
2000,214149
2001,390608
2002,149442
2003,3210
2004,185
2005,16529
2006,67808
2007,22088
2008,245585
2009,31
2010,90903
2011,9006
2012,232848
2013,20664
2014,341801
2015,9544
2016,137395
2017,2439
2018,2480
2019,22649
2020,26267
2021,60464
2022,346725
2023,6094
2024,225240
2025,27488
2026,6761
2027,337838
2028,7775
2029,158951
2030,20
2031,6375
2032,87592
2033,6285
2034,591829
2035,12949
2036,345669
2037,55278
2038,99610
2039,436268
2040,174
2041,13441
2042,233307
2043,537977
2044,22
2045,75848
2046,16879
2047,327248
2048,18338
2049,227538
2050,31678
2051,345617
2052,159034
2053,85431
2054,1911
2055,61
2056,12734
2057,345578
2058,259201
2059,345602
2060,75119
2061,15
2062,429007
2063,100622
2064,13943
2065,11
2066,30692
2067,214459
2068,418592
2069,87542
2070,89613
2071,832
2072,353863
2073,60002
2074,85711
2075,97113
2076,47
2077,16384
2078,345592
2079,238511
2080,249676
2081,45141
2082,6851
2083,64657
2084,144755
2085,212
2086,8868
2087,99949
2088,245045
2089,273444
2090,71
2091,86221
2092,345608
2093,142160
2094,117070
2095,498031
2096,48
2097,82
2098,111
2099,21352
2100,85110
2101,345657
2102,259130
2103,251983
2104,352878
2105,345563
2106,157305
2107,14995
2108,41
2109,86852
2110,345627
2111,250399
2112,123
2113,8678
2114,345619
2115,64224
2116,194965
2117,345603
2118,85170
2119,138905
2120,35178
2121,345576
2122,167148
2123,92032
2124,241499
2125,967
2126,103134
2127,259229
2128,345483
2129,166923
2130,92346
2131,247967
2132,44
2133,100
2134,97533
2135,163322
2136,15
2137,95875
2138,345558
2139,67854
2140,3139
2141,188231
2142,227145
2143,377637
2144,339078
2145,84194
2146,153124
2147,28383
2148,1805312
2149,9113
2150,345589
2151,259160
2152,236753
2153,757
2154,9
2155,51
2156,98151
2157,9919
2158,232269
2159,15825
2160,11156
2161,345584
2162,259152
2163,345600
2164,223247
2165,15273
2166,20713
2167,333733
2168,72728
2169,5250
2170,26506
2171,96988
2172,31
2173,71473
2174,232597
2175,111058
2176,239609
2177,365220
2178,259208
2179,320104
2180,25491
2181,253284
2182,5895
2183,240685
2184,10196
2185,326359
2186,373110
2187,152556
2188,706856
2189,4653
2190,574000
2191,30828
2192,343698
2193,754005
2194,93342
2195,1011
2196,17447
2197,345629
2198,259276
2199,345566
