,Num commit
1592,156
1593,9
1594,356
1595,329
1596,338
1597,234
1598,353
1599,328
1600,206
1601,487
1602,204
1603,184
1604,136
1605,197
1606,270
1607,318
1608,333
1609,232
1610,8
1611,459
1612,196
1613,165
1614,111
1615,2
1616,7
1617,568
1618,223
1619,232
1620,288
1621,190
1622,154
1623,230
1624,140
1625,11
1626,478
1627,221
1628,185
1629,132
1630,1
1631,334
1632,308
1633,220
1634,123
1635,2
1636,182
1637,387
1638,218
1639,174
1640,315
1641,304
1642,217
1643,112
1644,8
1645,303
1646,155
1647,368
1648,204
1649,298
1650,151
1651,1
1652,91
1653,11
1654,591
1655,241
1656,212
1657,137
1658,334
1659,194
1660,132
1661,333
1662,178
1663,191
1664,122
1665,496
1666,221
1667,169
1668,115
1669,2
1670,181
1671,111
1672,307
1673,162
1674,106
1675,7
1676,6
1677,468
1678,216
1679,158
1680,95
1681,6
1682,279
1683,155
1684,86
1685,689
1686,288
1687,144
1688,6
1689,193
1690,315
1691,207
1692,605
1693,283
1694,307
1695,204
1696,7
1697,348
1698,200
1699,120
1700,163
1701,114
1702,581
1703,277
1704,191
1705,107
1706,17
1707,3
1708,1
1709,314
1710,402
1711,486
1712,334
1713,6
1714,722
1715,332
1716,399
1717,257
1718,2
1719,251
1720,156
1721,483
1722,469
1723,321
1724,146
1725,707
1726,315
1727,237
1728,4
1729,139
1730,1
1731,9
1732,5
1733,4
1734,454
1735,218
1736,122
1737,11
1738,440
1739,441
1740,302
1741,113
1742,4
1743,428
1744,430
1745,297
1746,102
1747,647
1748,292
1749,196
1750,759
1751,345
1752,755
1753,341
1754,281
1755,317
1756,187
1757,4
1758,531
1759,461
1760,325
1761,173
1762,287
1763,586
1764,322
1765,512
1766,255
1767,158
1768,3
1769,279
1770,575
1771,316
1772,249
1773,3
1774,501
1775,242
1776,143
1777,2
1778,681
1779,309
1780,236
1781,136
1782,3
1783,671
1784,303
1785,228
1786,551
1787,294
1788,216
1789,118
1790,838
1791,321
1792,533
1793,281
1794,324
1795,203
1796,314
1797,194
1798,4
1799,5
1800,9
1801,4
1802,659
1803,300
1804,287
1805,181
1806,655
1807,295
1808,176
1809,4
1810,3
1811,472
1812,239
1813,165
1814,270
1815,531
1816,282
1817,8
1818,454
1819,221
1820,3
1821,445
1822,213
1823,140
1824,240
1825,134
1826,608
1827,261
1828,207
1829,500
1830,259
1831,203
1832,124
1833,770
1834,573
1835,445
1836,318
1837,762
1838,443
1839,478
1840,427
1841,348
1842,193
1843,4
1844,470
1845,412
1846,553
1847,426
1848,4
1849,180
1850,461
1851,230
1852,841
1853,418
1854,319
1855,167
1856,833
1857,409
1858,210
1859,263
1860,498
1861,310
1862,12
1863,2
1864,244
1865,483
1866,292
1867,192
1868,2
1869,235
1870,689
1871,381
1872,273
1873,285
1874,177
1875,454
1876,265
1877,558
1878,374
1879,100
1880,1008
1881,427
1882,268
1883,555
1884,371
1885,263
1886,644
1887,610
1888,423
1889,249
1890,155
1891,6
1892,9
1893,2
1894,613
1895,595
1896,416
1897,233
1898,135
1899,215
1900,522
1901,342
1902,2
1903,373
1904,224
1905,758
1906,392
1907,279
1908,421
1909,318
1910,6
1911,5
1912,1262
1913,502
1914,8
1915,723
1916,386
1917,292
1918,184
1919,1168
1920,500
1921,2
1922,10
1923,4
1924,1142
1925,489
1926,370
1927,270
1928,163
1929,7
1930,3
1931,1126
1932,478
1933,149
1934,199
1935,609
1936,349
1937,248
1938,194
1939,1051
1940,466
1941,345
1942,243
1943,133
1944,186
1945,131
1946,180
1947,124
1948,3
1949,1089
1950,460
1951,229
1952,1371
1953,503
1954,570
1955,325
1956,220
1957,7
1958,10
1959,4
1960,994
1961,451
1962,10
1963,5
1964,976
1965,440
1966,298
